usahawanid,jenisperniagaan,klusterperniagaan,subkluster,purata_jualan_bulanan
C00511,C,C2,,3500
C00512,E,E13,,1200
C00513,A,A1,,1500
C00514,E,E13,,2000
C00515,C,C2,,3000
C00516,E,E25,,1100
C00517,E,E21,,7000
C00518,C,C1,CILI,
C00519,E,E4,,1500
C00520,A,A4,,3000
C00521,E,E22,,3500
C00522,C,C3,IKAN SANGKAR,1500
C00523,E,E13,,3500
C00524,E,E4,,1000
C00525,E,E13,,3000
C00526,A,A4,,3500
C00527,E,E5,,3800
C00528,C,C2,ITIK,1000
C00529,E,E30,,2500
C00530,C,C3,IKAN SANGKAR,1500
C00531,E,E4,,1000
C00532,E,E4,,600
C00533,C,C3,,2000
C00534,E,E2,,1500
C00535,E,E4,,800
C00536,A,A3,,1200
C00537,E,E13,,1800
C00538,A,E25,,3500
C00539,E,E4,,2500
C00540,A,A1,,2500
C00541,E,,,3000
C00542,E,E4,,1600
C00543,E,,,5000
C00544,A,A4,,6000
C00545,E,E13,,1000
C00546,A,A2,,1200
C00547,A,A4,,3000
C00548,C,C3,IKAN SANGKAR,1500
C00549,E,E4,,700
C00550,A,A1,,1500
C00551,A,A1,,900
C00552,E,E6,,4500
C00553,E,E4,,400
C00554,A,A2,,2000
C00555,E,E4,,1200
C00556,C,C1,,2000
C00557,E,E13,,6000
C00558,C,C3,IKAN SANGKAR,2000
C00559,C,C3,IKAN SANGKAR,1500
C00560,C,C1,,1600
C00561,C,C3,IKAN SANGKAR,
C00562,C,C3,,1500
C00563,A,A3,,10000
C00564,C,C3,IKAN SANGKAR,
C00565,A,A2,,3500
C00566,D,,,350000
C00567,C,C1,,2200
C00568,C,C3,IKAN SANGKAR,800
C00569,E,,,3000
C00570,E,E5,,2500
C00571,C,C2,LEMBU,
C00572,C,C3,,2500
C00573,B,B1,,2000
C00574,,,,700
C00575,C,C1,,1500
C00576,A,A3,AIS KRIM GULUNG,
C00577,E,E13,,4000
C00578,C,C3,,4000
C00580,C,C1,,1200
C00581,E,E13,,3500
C00582,E,E2,,1200
C00583,E,E13,,3000
C00584,E,E13,,2000
C00585,C,C2,,4000
C00586,E,E4,,1500
C00587,A,A4,ROTI CANAI,500
C00588,C,C1,,2600
C00589,E,E5,,5000
C00590,E,E4,,600
C00591,E,E13,,3000
C00592,C,C1,,2000
C00593,C,C2,,3000
C00594,E,E4,,500
C00595,E,E13,,600
C00596,E,E13,,1900
C00598,C,C1,CILI,1000
C00599,A,A1,,4000
C00600,A,A4,,800
C00601,C,C1,,1500
C00602,E,E4,,1300
C00603,E,E22,,700
C00604,A,,,700
C00605,E,E25,,4000
C00606,E,E13,,5000
C00607,E,E4,,1500
C00608,A,A1,,3500
C00609,E,E4,,1200
C00610,A,A4,,4000
C00611,E,E13,,2000
C00612,E,E4,,500
C00613,E,E4,,600
C00614,E,E13,,2500
C00615,E,E13,,
C00616,A,A1,,1100
C00617,E,E13,,400
C00618,A,,,800
C00619,A,A4,,6000
C00620,E,E4,,700
C00621,E,E13,,600
C00622,A,A2,,1500
C00623,C,C1,CENDAWAN,1200
C00624,A,,,3500
C00625,C,C3,,2500
C00626,A,A1,,500
C00627,E,E13,,2800
C00628,E,E13,,1000
C00629,E,E13,,
C00630,C,C2,KAMBING,
C00631,E,E13,,300
C00632,C,C1,,1500
C00633,E,E4,,500
C00634,E,E30,,700
C00635,C,C2,LEMBU,3000
C00636,E,,,5000
C00637,C,C3,IKAN SANGKAR,1000
C00638,E,E13,,800
C00639,E,E4,,1600
C00640,E,E4,,400
C00641,E,E42,,
C00642,C,C3,IKAN SANGKAR,500
C00643,E,E2,,6000
C00644,C,C3,IKAN SANGKAR,500
C00645,A,A4,PIZZA,4000
C00646,E,E38,,
C00647,E,E4,,600
C00648,E,E13,,4000
C00649,E,E29,,1000
C00650,E,E4,,1800
C00651,E,E4,,2000
C00652,C,C3,,4000
C00653,C,C1,,1000
C00654,C,C2,,3000
C00655,A,A1,,5000
C00656,A,B1,,4500
C00657,E,E20,,7000
C00658,A,A7,,5000
C00659,E,E6,,2500
C00660,E,E4,,1200
C00661,E,E13,,4000
C00662,E,E4,,1400
C00663,A,A1,,1500
C00664,A,A1,,2500
C00665,A,A4,,2500
C00666,A,A4,,3000
C00667,A,A2,,2500
C00668,C,C1,,2000
C00669,A,B1,,600
C00670,E,E15,,5000
C00671,C,C2,,1500
C00672,C,C3,,1000
C00673,E,E4,,1200
C00674,C,A3,IKAN PEKASAM,600
C00675,C,C1,FETIGASI CILI,1500
C00676,E,E3,,4000
C00677,C,C3,IKAN SANGKAR,1500
C00678,A,E13,MURTABAK,3500
C00679,A,A1,KEROPOK LEKOR,4000
C00680,E,E13,,4500
C00681,E,,,3000
C00682,E,,,1500
C00683,E,E13,,300
C00684,A,A4,,500
C00685,A,A4,,500
C00686,E,E13,,500
C00687,E,E13,,600
C00688,E,E13,,2500
C00689,A,A4,,500
C00690,E,E4,,600
C00691,C,C1,,
C00692,E,,,
C00694,A,E13,,
C00695,A,A7,,
C00697,A,C1,,
C00698,A,C2,,
C00699,A,E6,,
C00700,A,A3,,
C00701,A,E9,,
C00702,A,E4,,
C00703,A,,,
C00704,A,E5,,
C00705,A,E20,,
C00706,A,A2,,
C00707,A,A3,,
C00708,A,A2,,
C00709,A,E25,,
C00710,A,A4,,
C00711,A,A2,,
C00712,E,E2,,
C00713,C,C3,,
C00714,,,,
C00716,C,C2,,
C00717,C,C1,,
C00718,C,C3,,
C00719,C,C3,,
C00720,C,C1,,
C00721,C,C1,,
C00722,C,C1,,
C00723,A,A3,,
C00724,A,A4,,
C00725,E,,,
C00726,A,A7,,
C00727,A,A2,,
C00728,A,A7,,
C00729,A,A2,,
C00733,C,C1,,
C00734,A,E13,,
C00735,C,C2,,
C00737,,,,
C00740,C,,,
C00741,C,,,
C00742,A,A4,,
C00743,A,A2,DODOL,
C00744,E,E2,,
C00745,C,C1,,
C00746,C,C2,AYAM,
C00747,E,E4,,
C00748,C,,,
C00749,E,E35,,
C00750,E,E4,,
C00751,A,A3,,
C00752,C,C1,CILI,
C00753,E,E1,,
C00754,C,,,
